player_id,player_name,team_id,position,class_year,games_played,minutes,mpg,usage_rate,points,ppg,efg_pct,ts_pct,three_point_attempts,three_point_pct,free_throw_attempts,free_throw_pct,turnover_rate,assist_rate,offensive_rebound_rate,defensive_rebound_rate,steal_rate,block_rate,foul_rate,orb_per_game,drb_per_game,ast_per_game,tov_per_game,stl_per_game,blk_per_game,pf_per_game,data_source,bpm,obpm,dbpm,per,win_shares,win_shares_per_40,class_year_2026_27,class_year_source,field_goal_attempts,three_point_attempt_rate,free_throw_rate,two_point_pct,assist_turnover_ratio,fouls_per_40,steal_pct,block_pct,player_ortg,player_drtg,roster_status_notes,shot_profile_source,rim_attempts,rim_makes,rim_fg_pct,rim_attempt_rate,midrange_attempts,midrange_makes,midrange_fg_pct,midrange_attempt_rate,corner_three_attempts,corner_three_pct,corner_three_attempt_rate,above_break_three_attempts,above_break_three_pct,above_break_three_attempt_rate,corner_three_makes,above_break_three_makes
illinois_andrej_stojakovic,Andrej Stojakovic,illinois,G,Jr,34,894.2,26.3,0.35,459.0,13.5,0.53,0.55,82,0.244,129,0.805,0.101,0.078,0.002,0.007,0.0,0.0,0.001,0.04,0.09,0.03,0.04,0.01,0.01,0.04,Sports Reference 2025-26,6.4,4.1,2.3,20.1,3.8,0.169,Sr,,,,,,,,,,,,,tracking,139.0,93.0,0.669,0.481,74.0,31.0,0.419,0.256,27.0,0.222,0.093,49.0,0.245,0.17,6.0,12.0
illinois_david_mirkovic,David Mirkovic,illinois,F,Jr,37,1091.5,29.5,0.35,492.1,13.3,0.562,0.582,152,0.375,111,0.757,0.146,0.2,0.003,0.01,0.0,0.0,0.001,0.07,0.15,0.07,0.05,0.01,0.01,0.05,Sports Reference 2025-26,9.6,6.4,3.2,21.2,5.2,0.189,So,,,,,,,,,,,,,tracking,108.0,73.0,0.676,0.348,69.0,28.0,0.406,0.223,47.0,0.383,0.152,86.0,0.372,0.277,18.0,32.0
illinois_tomislav_ivisic,Tomislav Ivisic,illinois,C,Jr,34,863.6,25.4,0.35,353.6,10.4,0.576,0.596,160,0.313,54,0.778,0.139,0.158,0.003,0.008,0.0,0.0,0.001,0.05,0.11,0.05,0.04,0.01,0.02,0.06,Sports Reference 2025-26,8.1,5.0,3.1,18.3,3.6,0.165,Sr,,,,,,,,,,,,,tracking,55.0,48.0,0.873,0.242,34.0,16.0,0.471,0.15,48.0,0.312,0.211,90.0,0.322,0.396,15.0,29.0
illinois_zvonimir_ivisic,Zvonimir Ivisic,illinois,F,Jr,37,636.4,17.2,0.204,236.8,6.4,0.591,0.611,100,0.28,52,0.692,0.087,0.052,0.003,0.011,0.0,0.002,0.001,0.03,0.09,0.01,0.01,0.01,0.05,0.04,Sports Reference 2025-26,10.3,4.5,5.8,21.9,3.0,0.191,Sr,,,,,,,,,,,,,tracking,56.0,50.0,0.893,0.352,9.0,5.0,0.556,0.057,33.0,0.303,0.208,61.0,0.295,0.384,10.0,18.0
illinois_ben_humrichous,Ben Humrichous,illinois,F,Jr,37,832.5,22.5,0.192,214.6,5.8,0.538,0.558,159,0.361,22,0.792,0.037,0.149,0.002,0.007,0.0,0.0,0.001,0.03,0.08,0.02,0.01,0.01,0.02,0.03,Sports Reference 2025-26,8.2,4.3,3.9,13.8,3.1,0.148,Gr,,,,,,,,,,,,,tracking,19.0,12.0,0.632,0.115,4.0,1.0,0.25,0.024,50.0,0.36,0.303,92.0,0.348,0.558,18.0,32.0
illinois_jake_davis,Jake Davis,illinois,F,Jr,37,725.2,19.6,0.159,199.8,5.4,0.612,0.632,133,0.406,22,0.75,0.045,0.157,0.002,0.003,0.0,0.0,0.001,0.03,0.03,0.02,0.01,0.01,0.01,0.04,Sports Reference 2025-26,7.5,4.3,3.1,13.2,2.7,0.149,Sr,,,,,,,,,,,,,tracking,13.0,8.0,0.615,0.094,0.0,0.0,,0.0,44.0,0.409,0.317,82.0,0.415,0.59,18.0,34.0
indiana_tucker_devries,Tucker DeVries,indiana,G,Jr,32,1094.4,34.2,0.35,438.4,13.7,0.51,0.53,246,0.333,77,0.859,0.108,0.238,0.001,0.008,0.0,0.0,0.001,0.02,0.15,0.1,0.05,0.03,0.02,0.08,Sports Reference 2025-26,6.9,3.9,3.0,16.0,3.4,0.125,Gr,,,,,,,,,,,,,tracking,46.0,28.0,0.609,0.127,69.0,33.0,0.478,0.19,87.0,0.333,0.24,161.0,0.335,0.444,29.0,54.0
indiana_tayton_conerway,Tayton Conerway,indiana,G,Jr,29,617.7,21.3,0.334,275.5,9.5,0.611,0.631,61,0.29,75,0.737,0.214,0.35,0.001,0.005,0.001,0.0,0.001,0.02,0.07,0.11,0.07,0.04,0.01,0.07,Sports Reference 2025-26,7.0,3.6,3.4,19.9,2.4,0.153,Gr,,,,,,,,,,,,,tracking,108.0,79.0,0.731,0.6,9.0,4.0,0.444,0.05,22.0,0.273,0.122,41.0,0.293,0.228,6.0,12.0
indiana_sam_alexis,Sam Alexis,indiana,F,Jr,32,681.6,21.3,0.256,281.6,8.8,0.693,0.713,10,0.25,70,0.725,0.14,0.167,0.004,0.007,0.0,0.001,0.002,0.06,0.09,0.04,0.03,0.01,0.04,0.07,Sports Reference 2025-26,8.0,4.4,3.6,22.1,3.2,0.187,Gr,,,,,,,,,,,,,tracking,123.0,95.0,0.772,0.741,33.0,16.0,0.485,0.199,4.0,0.25,0.024,6.0,0.333,0.036,1.0,2.0
indiana_reed_bailey,Reed Bailey,indiana,F,Jr,32,611.2,19.1,0.254,265.6,8.3,0.574,0.594,3,0.25,147,0.757,0.126,0.154,0.002,0.007,0.0,0.0,0.002,0.03,0.07,0.03,0.03,0.01,0.01,0.07,Sports Reference 2025-26,4.3,2.4,1.9,18.8,2.7,0.176,Gr,,,,,,,,,,,,,tracking,110.0,71.0,0.645,0.815,20.0,4.0,0.2,0.148,2.0,0.5,0.015,3.0,0.333,0.022,1.0,1.0
