player_name,team_id,class_year_2026_27,source_url,notes
Andrej Stojakovic,illinois,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/356/roster,ESPN roster experience Jr on illinois; advanced one year for 2026-27
David Mirkovic,illinois,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/356/roster,ESPN roster experience Fr on illinois; advanced one year for 2026-27
Tomislav Ivisic,illinois,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/356/roster,ESPN roster experience Jr on illinois; advanced one year for 2026-27
Zvonimir Ivisic,illinois,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/356/roster,ESPN roster experience Jr on illinois; advanced one year for 2026-27
Ben Humrichous,illinois,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/356/roster,ESPN roster experience Sr on illinois; advanced one year for 2026-27
Jake Davis,illinois,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/356/roster,ESPN roster experience Jr on illinois; advanced one year for 2026-27
Tucker DeVries,indiana,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/84/roster,ESPN roster experience Sr on indiana; advanced one year for 2026-27
Tayton Conerway,indiana,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/84/roster,ESPN roster experience Sr on indiana; advanced one year for 2026-27
Sam Alexis,indiana,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/84/roster,ESPN roster experience Sr on indiana; advanced one year for 2026-27
Reed Bailey,indiana,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/84/roster,ESPN roster experience Sr on indiana; advanced one year for 2026-27
Nick Dorn,indiana,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/84/roster,ESPN roster experience Jr on indiana; advanced one year for 2026-27
Conor Enright,indiana,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/84/roster,ESPN roster experience Sr on indiana; advanced one year for 2026-27
Trent Sisley,indiana,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/84/roster,ESPN roster experience Fr on indiana; advanced one year for 2026-27
Bennett Stirtz,iowa,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/2294/roster,ESPN roster experience Sr on iowa; advanced one year for 2026-27
Tavion Banks,iowa,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/2294/roster,ESPN roster experience Sr on iowa; advanced one year for 2026-27
Cooper Koch,iowa,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/2294/roster,ESPN roster experience Fr on iowa; advanced one year for 2026-27
Cam Manyawu,iowa,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/2294/roster,ESPN roster experience Jr on iowa; advanced one year for 2026-27
Kael Combs,iowa,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/2294/roster,ESPN roster experience Jr on iowa; advanced one year for 2026-27
Tate Sage,iowa,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/2294/roster,ESPN roster experience Fr on iowa; advanced one year for 2026-27
Isaia Howard,iowa,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/2294/roster,ESPN roster experience So on iowa; advanced one year for 2026-27
Brendan Hausen,iowa,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/2294/roster,ESPN roster experience Sr on iowa; advanced one year for 2026-27
Pharrel Payne,maryland,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Sr on maryland; advanced one year for 2026-27
David Coit,maryland,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Sr on maryland; advanced one year for 2026-27
Andre Mills,maryland,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Fr on maryland; advanced one year for 2026-27
Darius Adams,maryland,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Fr on maryland; advanced one year for 2026-27
Solomon Washington,maryland,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Sr on maryland; advanced one year for 2026-27
Elijah Saunders,maryland,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Sr on maryland; advanced one year for 2026-27
Myles Rice,maryland,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Jr on maryland; advanced one year for 2026-27
Isaiah Watts,maryland,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Jr on maryland; advanced one year for 2026-27
Collin Metcalf,maryland,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Sr on maryland; advanced one year for 2026-27
George Turkson Jr.,maryland,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/120/roster,ESPN roster experience Fr on maryland; advanced one year for 2026-27
Elliot Cadeau,michigan,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/130/roster,ESPN roster experience Jr on michigan; advanced one year for 2026-27
Trey McKenney,michigan,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/130/roster,ESPN roster experience Fr on michigan; advanced one year for 2026-27
L.J. Cason,michigan,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/130/roster,ESPN roster experience So on michigan; advanced one year for 2026-27
Nimari Burnett,michigan,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/130/roster,ESPN roster experience Sr on michigan; advanced one year for 2026-27
Roddy Gayle Jr.,michigan,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/130/roster,ESPN roster experience Sr on michigan; advanced one year for 2026-27
Will Tschetter,michigan,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/130/roster,ESPN roster experience Sr on michigan; advanced one year for 2026-27
Jeremy Fears Jr.,michigan_state,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/127/roster,ESPN roster experience So on michigan_state; advanced one year for 2026-27
Jaxon Kohler,michigan_state,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/127/roster,ESPN roster experience Sr on michigan_state; advanced one year for 2026-27
Coen Carr,michigan_state,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/127/roster,ESPN roster experience Jr on michigan_state; advanced one year for 2026-27
Carson Cooper,michigan_state,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/127/roster,ESPN roster experience Sr on michigan_state; advanced one year for 2026-27
Kur Teng,michigan_state,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/127/roster,ESPN roster experience So on michigan_state; advanced one year for 2026-27
Jordan Scott,michigan_state,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/127/roster,ESPN roster experience Fr on michigan_state; advanced one year for 2026-27
Divine Ugochukwu,michigan_state,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/127/roster,ESPN roster experience So on michigan_state; advanced one year for 2026-27
Trey Fort,michigan_state,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/127/roster,ESPN roster experience Sr on michigan_state; advanced one year for 2026-27
Cade Tyson,minnesota,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience Sr on minnesota; advanced one year for 2026-27
Jaylen Crocker-Johnson,minnesota,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience Jr on minnesota; advanced one year for 2026-27
Langston Reynolds,minnesota,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience Sr on minnesota; advanced one year for 2026-27
Isaac Asuma,minnesota,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience So on minnesota; advanced one year for 2026-27
Bobby Durkin,minnesota,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience Jr on minnesota; advanced one year for 2026-27
Chansey Willis Jr.,minnesota,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience Jr on minnesota; advanced one year for 2026-27
Robert Vaihola,minnesota,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience Sr on minnesota; advanced one year for 2026-27
Grayson Grove,minnesota,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience Fr on minnesota; advanced one year for 2026-27
Kai Shinholster,minnesota,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/135/roster,ESPN roster experience Fr on minnesota; advanced one year for 2026-27
Pryce Sandfort,nebraska,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/158/roster,ESPN roster experience Jr on nebraska; advanced one year for 2026-27
Rienk Mast,nebraska,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/158/roster,ESPN roster experience Sr on nebraska; advanced one year for 2026-27
Braden Frager,nebraska,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/158/roster,ESPN roster experience Fr on nebraska; advanced one year for 2026-27
Jamarques Lawrence,nebraska,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/158/roster,ESPN roster experience Sr on nebraska; advanced one year for 2026-27
Sam Hoiberg,nebraska,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/158/roster,ESPN roster experience Sr on nebraska; advanced one year for 2026-27
Ugnius Jarusevicius,nebraska,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/158/roster,ESPN roster experience Sr on nebraska; advanced one year for 2026-27
Berke Buyuktuncel,nebraska,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/158/roster,ESPN roster experience Jr on nebraska; advanced one year for 2026-27
Cale Jacobsen,nebraska,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/158/roster,ESPN roster experience Jr on nebraska; advanced one year for 2026-27
Nick Martinelli,northwestern,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience Sr on northwestern; advanced one year for 2026-27
Arrinten Page,northwestern,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience Jr on northwestern; advanced one year for 2026-27
Jayden Reid,northwestern,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience Jr on northwestern; advanced one year for 2026-27
Tre Singleton,northwestern,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience Fr on northwestern; advanced one year for 2026-27
Angelo Ciaravino,northwestern,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience So on northwestern; advanced one year for 2026-27
Jake West,northwestern,So,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience Fr on northwestern; advanced one year for 2026-27
Max Green,northwestern,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience So on northwestern; advanced one year for 2026-27
Jordan Clayton,northwestern,Sr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience Jr on northwestern; advanced one year for 2026-27
K.J. Windham,northwestern,Jr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience So on northwestern; advanced one year for 2026-27
Justin Mullins,northwestern,Gr,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-college-basketball/teams/77/roster,ESPN roster experience Sr on northwestern; advanced one year for 2026-27
