player_name,old_team,new_team,status,source_url,last_checked,notes,class_year_2026_27
Denzel Aberdeen,kentucky,florida,transferred_in,https://247sports.com/college/basketball/recruiting/transfer-portal/,2026-05-28,Committed to Florida for 2026-27; remove from Kentucky projected roster,
Tounde Yessoufou,baylor,st_johns,transferred_in,,2026-06-03,Manual update: removed from NBA consideration and committed to St. John's,So
Charles Bediako,alabama,,eligibility,,2026-06-03,Manual update: remove/verify eligibility after 2025-26 senior season,
Allen David Mukeba,arizona_state,,eligibility,,2026-06-03,Manual update: remove after 2025-26 graduate season,
Moe Odum,arizona_state,,eligibility,,2026-06-03,Manual update: remove after exhausted eligibility following 2025-26,
Daniel Skillings Jr.,baylor,,returning,,2026-06-03,Manual update: keep as graduate/verify after 2025-26 senior season,Gr
DJ Campbell,california,,returning,,2026-06-03,Manual update: keep as graduate/verify after 2025-26 senior season,Gr
Semetri (TT) Carr,california,,returning,,2026-06-03,Manual update: projected sophomore,So
Efrem Johnson,clemson,,returning,,2026-06-03,Manual update: keep as graduate/verify after 2025-26 senior season,Gr
Fedor Žugić,creighton,,returning,,2026-06-03,Manual update: projected senior,Sr
Somto Cyril,georgia,miami,transferred_in,,2026-06-03,Manual update: transfer to Miami; projected junior,Jr
Christian Jones,kansas_state,,returning,,2026-06-03,Manual update: keep as graduate/verify after 2025-26 senior season,Gr
Nicolus Anderson,loyola_chicago,,returning,,2026-06-03,Manual update: projected sophomore,So
Michael Nwoko,lsu,,returning,,2026-06-03,Manual update: projected junior,Jr
Zaide Lowery,marquette,dayton,transferred_in,,2026-06-03,Manual update: transfer to Dayton; projected senior,Sr
Zachary Davis,memphis,,eligibility,,2026-06-03,Manual update: remove/verify likely final season after 2025-26,
Cameron Ward,michigan_state,,returning,,2026-06-03,Manual update: projected sophomore,So
Carson Towt,notre_dame,,eligibility,,2026-06-03,Manual update: remove graduate transfer/final-year type,
Nathan Bittle,oregon,,eligibility,,2026-06-03,Manual update: remove after 2025-26 graduate season,
Angelino Mark,rutgers,,returning,,2026-06-03,Manual update: projected sophomore,So
Christopher Nwuli,rutgers,,returning,,2026-06-03,Manual update: projected sophomore,So
Aleksandar Gavalyugov,santa_clara,,returning,,2026-06-03,Manual update: projected junior,Jr
TJ Simpkins,seton_hall,mississippi_state,transferred_in,,2026-06-03,Manual update: transfer to Mississippi State; projected senior,Sr
Rubén Prey,st_johns,,returning,,2026-06-03,Manual update: projected junior,Jr
Ali Abdou Dibba,texas_am,,eligibility,,2026-06-03,Manual update: remove from projected roster,
PJ Haggerty,texas_am,,returning,,2026-06-03,Manual update: projected graduate,Gr
KyeRon Lindsay,uab,,returning,,2026-06-03,Manual update: projected senior,Sr
Solomon Ball,uconn,,returning,,2026-06-03,Manual update: projected junior,Jr
Chad Baker-Mazara,usc,,eligibility,,2026-06-03,Manual update: remove from projected roster,
Michael James,vanderbilt,,transferred_out,,2026-06-03,Manual update: transfer to USF/South Florida, outside 103-team universe,
Matthew Hodge,villanova,,returning,,2026-06-03,Manual update: projected sophomore,So
Toibu Lawal,virginia_tech,,eligibility,,2026-06-03,Manual update: remove from projected roster,
Malik Moore,xavier,,eligibility,,2026-06-03,Manual update: remove from projected roster,
