team_id,team_name,conference,season,data_source,pace,offensive_rating,defensive_rating,efg_pct,three_point_rate,turnover_rate,offensive_rebound_rate,defensive_rebound_rate,free_throw_rate,assist_rate,block_rate,steal_rate,foul_rate,games_played,three_point_pct,free_throw_pct,two_point_pct,team_rim_attempt_rate,team_rim_fg_pct
illinois,Illinois,Big Ten,2026,Sports Reference 2025-26,67.1,115.4,100.3,0.461,0.4975609756097561,0.1414634146341463,0.1467153284671533,0.3706812652068126,0.3317073170731707,0.5,0.0031081081081081,0.0025,0.009054054054054,37,0.341763862332696,0.7843824701195219,0.0,454.0,0.7158590308370044
indiana,Indiana,Big Ten,2026,Sports Reference 2025-26,69.5,114.8,100.7,0.474,0.5053571428571428,0.1821428571428571,0.1138888888888889,0.4108024691358025,0.35,0.6264150943396227,0.002109375,0.003671875,0.014296875,32,0.33476495132127954,0.7258429319371728,0.0,843.0,0.6761565836298933
iowa,Iowa,Big Ten,2026,Sports Reference 2025-26,68.8,116.6,101.4,0.487,0.4288389513108614,0.1779026217228464,0.1351535836177474,0.3848122866894198,0.350187265917603,0.5769230769230769,0.0012837837837837,0.0045945945945945,0.0117567567567567,37,0.3646532033426184,0.7532544642857143,0.0,737.0,0.6350067842605156
maryland,Maryland,Big Ten,2026,Sports Reference 2025-26,68.2,108.6,104.0,0.407,0.469244288224956,0.2179261862917399,0.1550847457627118,0.3604519774011299,0.3637961335676625,0.4525862068965517,0.0021969696969696,0.0036363636363636,0.0136363636363636,33,0.32122235294117646,0.7018718562874251,0.0,816.0,0.5735294117647058
michigan,Michigan,Big Ten,2026,Sports Reference 2025-26,69.6,118.1,101.3,0.507,0.4152823920265781,0.1943521594684385,0.1211970074812967,0.4018703241895262,0.3803986710963454,0.6098360655737706,0.0038125,0.0034999999999999,0.0096875,40,0.3681820448877805,0.7373852459016393,0.0,607.0,0.6260296540362438
michigan_state,Michigan State,Big Ten,2026,Sports Reference 2025-26,70.5,114.8,102.5,0.472,0.3647260273972603,0.1986301369863013,0.1405541561712846,0.3768261964735516,0.3578767123287671,0.6763636363636364,0.0029285714285714,0.0036428571428571,0.0114285714285714,35,0.3589330543933055,0.7622087447108603,0.0,603.0,0.6666666666666666
minnesota,Minnesota,Big Ten,2026,Sports Reference 2025-26,70.9,113.0,101.7,0.458,0.4722753346080306,0.2007648183556405,0.1219354838709677,0.3991935483870968,0.3575525812619503,0.7083333333333334,0.0020454545454545,0.0047727272727272,0.0109848484848484,33,0.343435960591133,0.7045117845117844,0.0,579.0,0.6528497409326425
nebraska,Nebraska,Big Ten,2026,Sports Reference 2025-26,69.5,113.0,99.8,0.465,0.511904761904762,0.1649659863945578,0.114756446991404,0.4097421203438396,0.2619047619047619,0.6593406593406593,0.0017857142857142,0.0050714285714285,0.0102142857142857,35,0.3640444214876033,0.7563632653061224,0.0,573.0,0.7102966841186736
northwestern,Northwestern,Big Ten,2026,Sports Reference 2025-26,69.2,114.9,100.1,0.461,0.3403880070546737,0.1499118165784832,0.1342622950819672,0.3859016393442623,0.3386243386243386,0.6564885496183206,0.0026470588235294,0.0042647058823529,0.0125735294117647,34,0.33188990825688075,0.7487876923076923,0.0,680.0,0.6264705882352941
ohio_state,Ohio State,Big Ten,2026,Sports Reference 2025-26,68.4,116.9,101.2,0.491,0.4010695187165775,0.1836007130124777,0.1246987951807228,0.3975903614457831,0.3725490196078431,0.5272727272727272,0.0017647058823529,0.0036029411764705,0.0128676470588235,34,0.3581151515151515,0.7861763907734057,0.0,595.0,0.6420168067226891
oregon,Oregon,Big Ten,2026,Sports Reference 2025-26,69.6,110.2,103.0,0.426,0.4288224956063268,0.2073813708260105,0.1465116279069767,0.3709302325581395,0.3497363796133567,0.588477366255144,0.003046875,0.004765625,0.0121875,32,0.33612134831460677,0.6443880000000001,0.0,228.0,0.5614035087719298
penn_state,Penn State,Big Ten,2026,Sports Reference 2025-26,67.9,114.3,101.4,0.469,0.3796791443850267,0.1871657754010695,0.1287931034482758,0.3925862068965517,0.338680926916221,0.4828897338403041,0.0013281249999999,0.005390625,0.012109375,32,0.33465076660988075,0.760448065173116,0.0,549.0,0.6338797814207651
purdue,Purdue,Big Ten,2026,Sports Reference 2025-26,69.2,117.8,100.6,0.499,0.4013377926421405,0.1488294314381271,0.1444602272727272,0.3734375,0.2859531772575251,0.6577181208053692,0.0017948717948717,0.003525641025641,0.0092948717948717,39,0.3833238512035011,0.7475748502994012,0.0,581.0,0.7246127366609294
rutgers,Rutgers,Big Ten,2026,Sports Reference 2025-26,67.8,110.7,101.6,0.417,0.3425129087779689,0.1738382099827883,0.1463525835866261,0.3711246200607903,0.3631669535283993,0.5,0.0024999999999999,0.004485294117647,0.0122058823529411,34,0.3241485294117647,0.7427192737430168,0.0,617.0,0.5526742301458671
ucla,UCLA,Big Ten,2026,Sports Reference 2025-26,68.5,115.3,100.4,0.466,0.3544520547945205,0.1523972602739726,0.1407120743034055,0.3797213622291022,0.3304794520547945,0.5919117647058825,0.0020833333333333,0.0046527777777777,0.0118055555555555,36,0.37980493033226154,0.7632267206477733,0.0,659.0,0.6191198786039454
usc,USC,Big Ten,2026,Sports Reference 2025-26,69.5,114.1,102.8,0.454,0.3355932203389831,0.211864406779661,0.1405479452054794,0.3782191780821918,0.4406779661016949,0.5708955223880597,0.004453125,0.004921875,0.0146093749999999,32,0.28660270880361177,0.6762605633802816,0.0,777.0,0.6357786357786358
washington,Washington,Big Ten,2026,Sports Reference 2025-26,67.7,113.5,101.4,0.458,0.3463414634146342,0.1707317073170731,0.1439516129032258,0.3740591397849462,0.3008130081300813,0.4929078014184397,0.0031818181818181,0.0043181818181818,0.0128030303030303,33,0.3196694352159469,0.7521678004535147,0.0,401.0,0.5486284289276808
wisconsin,Wisconsin,Big Ten,2026,Sports Reference 2025-26,68.1,113.5,99.7,0.45,0.5209677419354838,0.1451612903225806,0.1305633802816901,0.3919718309859155,0.314516129032258,0.5734767025089607,0.0022142857142857,0.004,0.0121428571428571,35,0.3536203271028038,0.7876835164835164,0.0,539.0,0.62152133580705
alabama,Alabama,SEC,2026,Sports Reference 2025-26,67.8,114.9,100.1,0.455,0.5431164901664145,0.1482602118003026,0.1382063882063882,0.3810810810810811,0.3600605143721634,0.5415282392026578,0.0035714285714285,0.0045714285714285,0.0132142857142857,35,0.359599603567889,0.7758131672597864,0.0,521.0,0.5950095969289827
arkansas,Arkansas,SEC,2026,Sports Reference 2025-26,67.5,119.4,99.6,0.501,0.3302325581395349,0.1395348837209302,0.13625,0.3834722222222222,0.3596899224806201,0.5325077399380805,0.0035135135135135,0.005,0.0112837837837837,37,0.3626083333333333,0.7480460251046024,0.0,821.0,0.6650426309378806
auburn,Auburn,SEC,2026,Sports Reference 2025-26,67.5,116.5,102.0,0.461,0.4026622296173044,0.1697171381031613,0.162396694214876,0.3530303030303031,0.43261231281198,0.4765342960288808,0.0026973684210526,0.0049342105263157,0.0111842105263157,38,0.3488319672131147,0.7933589041095891,0.0,604.0,0.5943708609271523
florida,Florida,SEC,2026,Sports Reference 2025-26,68.6,117.4,102.5,0.484,0.3703125,0.184375,0.1586474501108647,0.3560975609756098,0.390625,0.5483870967741935,0.0035714285714285,0.0047142857142857,0.0126428571428571,35,0.31998016701461385,0.7311053719008265,0.0,1007.0,0.6484607745779544
georgia,Georgia,SEC,2026,Sports Reference 2025-26,67.4,116.1,101.2,0.467,0.4429223744292237,0.1628614916286149,0.1547244094488189,0.3608923884514436,0.3698630136986301,0.482084690553746,0.0045454545454545,0.0063636363636363,0.0128030303030303,33,0.3301142857142857,0.7772003816793894,0.0,586.0,0.621160409556314
kentucky,Kentucky,SEC,2026,Sports Reference 2025-26,68.8,115.2,101.5,0.466,0.3976705490848585,0.1797004991680532,0.1407754010695187,0.3779411764705882,0.3743760399334442,0.5678571428571428,0.0031944444444444,0.0048611111111111,0.0127777777777777,36,0.3176355353075171,0.7408111888111888,0.0,618.0,0.6375404530744336
lsu,LSU,SEC,2026,Sports Reference 2025-26,68.4,115.9,101.6,0.471,0.3445378151260504,0.1848739495798319,0.1365853658536585,0.3830623306233062,0.4084033613445378,0.525,0.003046875,0.0046875,0.0146093749999999,32,0.3228959731543624,0.743675572519084,0.0,770.0,0.6454545454545455
mississippi_state,Mississippi State,SEC,2026,Sports Reference 2025-26,67.5,112.2,101.4,0.45,0.4015873015873016,0.1841269841269841,0.1331151832460733,0.3873036649214659,0.3063492063492063,0.4522968197879858,0.0034375,0.00453125,0.012578125,32,0.33296487119437934,0.6925094066570188,0.0,593.0,0.6340640809443507
missouri,Missouri,SEC,2026,Sports Reference 2025-26,68.9,116.7,103.3,0.486,0.3649122807017544,0.2157894736842105,0.1461864406779661,0.3728813559322034,0.4210526315789473,0.5126353790613718,0.0026515151515151,0.0049999999999999,0.0134090909090909,33,0.3533386454183267,0.690828947368421,0.0,1057.0,0.6575212866603595
